design_id,n_chambers,turns,chamber_width_mm,mean_error_deg,bad_posture_percent,number_of_cues,total_comfort_penalty,mean_pressure_kpa,max_pressure_kpa,mean_chamber_length_mm,length_balance_std_mm,mean_curvature,max_curvature,overall_score_lower_is_better
A,4,2.0,25,4.711639149438099,87.05555555555556,53,11.089063673081707,0.3080295464744919,3.8496129414792297,236.90176709559955,145.63723485830744,0.030048988790698783,0.31588594149209454,0.584719106082116
B,4,1.5,30,4.559833441069518,80.0,50,10.492738353927074,0.29146495427575203,3.8496129414792297,180.27949700440018,103.57972387981155,0.027928236472162922,0.23843968540578395,0.5449813127345922
C,6,2.5,20,5.553289056811496,85.88888888888889,52,10.89470312838624,0.20175376163678221,3.8496129414792297,195.653810265649,115.64426069570222,0.031383150981399134,0.39163368924345676,0.59912163267706
