design_id,chamber_id,centerline_length_mm,chamber_area_mm2,seal_area_mm2,centroid_x_mm,centroid_y_mm,mean_curvature,max_curvature,distance_from_spine_mm,inlet_x_mm,inlet_y_mm
A,1,69.9352181563412,2235.838242818449,3085.2417974125697,-10.856718597396245,11.692545348621488,0.08148938696209543,0.31588594149209454,10.856718597396245,0.0,0.0
A,2,177.68532203346555,4932.181424419118,6717.475913234474,11.614062029899339,-36.48445403474923,0.0191681413237021,0.033421223070783185,11.614062029899339,-29.448676773307316,-0.23167761661298786
A,3,292.25755888140316,7796.489511710203,10498.363503416218,-11.848101638213757,62.360025788512246,0.011404277473274695,0.020283003403952664,11.848101638213757,58.894923390710886,0.9266977208844467
A,4,407.72896931118834,10683.2753681577,14308.921085551843,12.284823923424698,-88.49275139597192,0.008134149403722927,0.014531622065496188,12.284823923424698,-88.33630980771804,-2.085022076637753
B,1,56.6219414442159,2401.2397735185896,3275.656656239719,-3.709497479140124,19.713245157734367,0.07369148512970361,0.23843968540578395,3.709497479140124,0.0,0.0
B,2,141.21577835727624,4942.179592826209,6498.466037136308,-27.650543277909158,-31.294277433691754,0.016933921754877138,0.03991201454191117,27.650543277909158,-20.905394914053684,31.11236065757408
B,3,229.0057512000898,7575.874775503746,9834.478583202881,58.08675766005443,-11.875623152279635,0.01165645002076223,0.02506801937112497,58.08675766005443,0.4633525778930212,-88.34451146638928
B,4,294.2745170160188,9533.932584462515,12314.683396419778,-44.07024296264324,97.4128265709398,0.009431088983308716,0.015213115675725615,44.07024296264324,61.72940674784916,94.8056499177052
C,1,39.71602374314957,1106.26466253291,1692.5249475180356,-4.230704343111768,11.782168146721038,0.11571648274229311,0.39163368924345676,4.230704343111768,0.0,0.0
C,2,98.43049598936543,2282.2332179125788,3370.7555520277656,-11.016254357551924,-26.809921737692594,0.027489673924937005,0.04177351580961162,11.016254357551924,-17.045176237004366,14.612934164683328
C,3,167.62316624776992,3666.096508213223,5308.169694122891,33.03222291089787,22.116313160533377,0.014972010816727603,0.029691222690043005,33.03222291089787,19.92921124816084,-50.74793975098128
C,4,234.18917685702533,4997.413764526724,7172.012197673696,-51.5572467290218,4.223092472104082,0.01155038086690631,0.025355195948873876,51.5572467290218,-0.7722401348148676,88.33965119357578
C,5,290.6451561185095,6126.526867421571,8752.76691161899,55.53666701612302,-51.35217702772244,0.010078305184454541,0.018164854967640316,55.53666701612302,-38.07052713397957,-103.02865316531305
C,6,343.3188426380745,7179.99894904893,10227.626902589478,-31.420022004637897,104.382847659287,0.008492052353076224,0.014146061518956582,31.420022004637897,83.91937722642786,76.39156536778879
