time_s,pitch_error_deg,roll_error_deg,upper_error_deg,lower_error_deg,posture_mode,posture_state,cue_triggered,bad_posture_duration_s,comfort_penalty,mean_pressure_kpa,max_pressure_kpa,chamber_1_command,chamber_1_pressure_kpa,chamber_1_cue_intensity,chamber_2_command,chamber_2_pressure_kpa,chamber_2_cue_intensity,chamber_3_command,chamber_3_pressure_kpa,chamber_3_cue_intensity,chamber_4_command,chamber_4_pressure_kpa,chamber_4_cue_intensity
0.0,0.12401522453585315,-0.011426931304936409,0.09360272961704645,0.05289280698479361,neutral,acceptable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.09720954237296969,-0.07102345124096662,0.1116916244462484,0.06489901356401478,neutral,acceptable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.11101092145601701,-0.06970622848347774,0.16405029648945535,-0.023038765690524626,neutral,acceptable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.13390324413225477,-0.0974142889358411,0.24774788225090852,0.08112385247973666,neutral,acceptable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.11126477740260445,-0.0912798173919242,0.22362137512962227,0.11135568166781913,neutral,acceptable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.06481098444492162,-0.10692023330891391,0.3069188509226388,0.08796318887849539,neutral,acceptable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.03279958287723511,-0.13532617491709106,0.22891793154605844,0.05146974780574903,neutral,acceptable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.10691997015603824,-0.16563348174416356,0.15292532799778832,0.09702863994001185,neutral,acceptable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.27510219653181844,-0.16112983989141466,0.16624639194459678,0.08851075933410844,neutral,acceptable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.3822965659679476,-0.1770758970837674,0.14569795594093243,0.11640316826363377,neutral,acceptable,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
